,name,author,img,preview,prompt,n_prompt,step,sampler,scale,seed,skip,size,model,path,page
0,"
            20221024fuko
        ","
            
                fuko
            
            ",/media/article/original_20221209/masterpiecebestqualityultra-detailedillustrationdisheveledhairextremelydetailedCG8k_wallpaperlight_blue_hair_white_kimonofemale__s-2953642429.png,https://www.ptsearch.info/media/article/original/masterpiecebestqualityultra-detailedillustrationdisheveledhairextremelydetailedCG8k_wallpaperlight_blue_hair_white_kimonofemale__s-2953642429.png,"
                        masterpiece, best quality, {{masterpiece}}, {{{best quality}}}, {{ultra-detailed}}, {{illustration}}, {{disheveled hair}},{{{{{extremely detailed CG}}}}},{{8k_wallpaper},light blue hair, white kimono,female ,long hair,dynamic angle, {{{afterimage}}},{{{red Petal}}} ,{{{white skirt}}},{{{light blue obi}}}, solo focus,red eyes,solo,[nsfw],{{{{{to many string}}}}}
                        ","
                        lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, owres, {{{bad anatomy}}}, {{{bad hands}}}, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        2953642429
                        ",None,None,None,app/static/media/article/original_20221209/masterpiecebestqualityultra-detailedillustrationdisheveledhairextremelydetailedCG8k_wallpaperlight_blue_hair_white_kimonofemale__s-2953642429.png,201
1,"
            Minato Aqua
        ","
            
                E.Clone
            
            ",/media/article/original_20221209/masterpeice_best_qualityhigh_resolution__minato_aqua_hololive_1girl_oversize_white_shirt_pink_hair_pink_eyes_gaming_room_neon_lights_s-741301111_NKXyTZh.png,https://www.ptsearch.info/media/article/original/masterpeice_best_qualityhigh_resolution__minato_aqua_hololive_1girl_oversize_white_shirt_pink_hair_pink_eyes_gaming_room_neon_lights_s-741301111_NKXyTZh.png,"
                        masterpiece, best quality, {masterpeice}, best quality,high resolution,  {{{{minato aqua}}}}, hololive, 1girl, oversize white shirt, pink hair, pink eyes, gaming, room, neon lights
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, topless, nude, nipple, cleavage, fat, sharp eyes, thick eyelashes, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, 2girlscropped, concept art, multi angle, close up, necktie, multi view, cleavage,gray-scale, censored
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        741301111
                        ",None,None,None,app/static/media/article/original_20221209/masterpeice_best_qualityhigh_resolution__minato_aqua_hololive_1girl_oversize_white_shirt_pink_hair_pink_eyes_gaming_room_neon_lights_s-741301111_NKXyTZh.png,201
2,"
            Graffity2
        ","
            
                네이드
            
            ",/media/article/original_20221209/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hair_sparkling_eyes_star-shaped__s-3741127612.png,https://www.ptsearch.info/media/article/original/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hair_sparkling_eyes_star-shaped__s-3741127612.png,"
                        {{{{{Masterpiece}}}}},{{best quality}},{{illustration}},{{{1girl}}},{beautiful detailed eyes},{{cinematic light}},blonde hair, medium hair, messy hair, sparkling eyes, star-shaped pupils,{{pink highlights}},{cap},black school uniform,stains on clothes,graffity, chromatic aberration,city,buildings,{{street}},wall,{{graffity}},spray bottle,top view,cyberpunk
                        ","
                        nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long, neck, Humpbacked,glowing eyes
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        3741127612
                        ",None,None,None,app/static/media/article/original_20221209/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hair_sparkling_eyes_star-shaped__s-3741127612.png,201
3,"
            Graffity1
        ","
            
                네이드
            
            ",/media/article/original_20221209/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hairpink_highlightscapblack_s-1478366551.png,https://www.ptsearch.info/media/article/original/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hairpink_highlightscapblack_s-1478366551.png,"
                        {{{{{Masterpiece}}}}},{{best quality}},{{illustration}},{{{1girl}}},{beautiful detailed eyes},{{cinematic light}},blonde hair, medium hair, messy hair,{{pink highlights}},cap,black school uniform,paint stains on clothes,graffity, chromatic aberration,city,buildings, street,wall graffity, limited palette,monochrome,spray bottle,top view
                        ","
                        nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long, neck, Humpbacked,glowing eyes
                        ",None,"
                        k_euler_ancestral
                        ",None,"
                        1478366551
                        ",None,None,None,app/static/media/article/original_20221209/Masterpiecebest_qualityillustration1girlbeautiful_detailed_eyescinematic_lightblonde_hair_medium_hair_messy_hairpink_highlightscapblack_s-1478366551.png,201
4,"
            claw pose
        ","
            
                pose
            
            ",/media/article/original_20221209/03741-3523215845.png,https://www.ptsearch.info/media/article/original/03741-3523215845.png,"
                        1girl, cute face, claw pose, open mouth
                        ","
                        sharp nails, lowres, huge eyes, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler a
                        ","
                        11
                        ","
                        3523215845
                        ","
                        2
                        ","
                        512x640
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/03741-3523215845.png,201
5,"
            mirror, smartphone
        ","
            
                pose
            
            ",/media/article/original_20221209/03710-2311184012.png,https://www.ptsearch.info/media/article/original/03710-2311184012.png,"
                        masterpiece, mirror, smartphone,
                        ","
                        clothes, red tags, white shirt, lowres, huge eyes, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler a
                        ","
                        11
                        ","
                        2311184012
                        ","
                        2
                        ","
                        512x1024
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/03710-2311184012.png,201
6,"
            수녀였던것6
        ","
                    Anonymous
                ",/media/article/original_20221209/285.png,https://www.ptsearch.info/media/article/original/285.png,"
                        ((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr, masterpiece, best quality, width angle, high resolution, (long messy hair), (grey hair:1.5), closed eyes, long eyelashes, (red mascara:1.0), (smiling face), closed mouth, black&red celtic cassock, big breasts, celtic church, 1 girl, nun, (orange & red eyes), black wedding veil, looking at viewer, hair between eyes, wavy hair, small mouth, 4K,
                        ","
                        nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, peg artifacts, signature, watermark, username, blurry, red hair, orange clothes, heterochromia, (hidden arms), elf ears, elf, hairband frills, bad eyes, low quality face, bad face, faceless, glasses, goggles, ugly, hairband,
                        ",None,"
                        Euler a
                        ","
                        5
                        ","
                        1577104071
                        ",None,"
                        512x768
                        ","
                        e6e8e1fc
                        ",app/static/media/article/original_20221209/285.png,201
7,"
            집에 가고 싶다
        ","
            
                청춘무용단
            
            ",/media/article/original_20221209/03674-2861549306.png,https://www.ptsearch.info/media/article/original/03674-2861549306.png,"
                        masterpiece, best quality, hyper detailed, Cinematic light, 1girl, facial, black hair, brown eyes, solo, forest, (camouflage uniform), helmet, frown, blush, tearing up, looking away, Dynamic angle, hdr, beautiful detailed sky, night, stars, milkyway, depth of field,
                        ","
                        clothes, red tags, white shirt, lowres, huge eyes, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler a
                        ","
                        11
                        ","
                        2861549306
                        ","
                        2
                        ","
                        1024x768
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/03674-2861549306.png,201
8,"
            murder case #2
        ","
            
                청춘무용단
            
            ",/media/article/original_20221209/03627-2352223481.png,https://www.ptsearch.info/media/article/original/03627-2352223481.png,"
                        (lens 135mm f1.8:1.05), (masterpiece), illustration, best quality, hyper detailed, Cinematic light, finely detailed, dramatic light, intricate details, 1girl, finely detailed beautiful eyes, high resolution illustration, 8k, depth of field, solo, Night, rain, outdoor, reflective, looking at viewer, glare at, cowboy shot, wet, night, (blush:1.1), baggy clothes, loose, beautiful detailed enameled material, (intricate detailed black raincoat), (hood up), large cleanness black raincoat, ((????)), ????, (blood), (no pupils), (empty eyes), dead eyes, glowing eyes, open mouth, ((yandere)), (beautiful detailed dark eyes:1.2), drooling, many line in hair, shiny skin, [[oily skin]], (wet hair:1.1), dampness, [beautiful detailed realistic],
                        ","
                        breasts, clothes, white shirt, lowres, huge eyes, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler a
                        ","
                        10.5
                        ","
                        2352223481
                        ","
                        2
                        ","
                        768x1024
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/03627-2352223481.png,201
9,"
            murder case #1
        ","
            
                청춘무용단
            
            ",/media/article/original_20221209/03616-2434547330.png,https://www.ptsearch.info/media/article/original/03616-2434547330.png,"
                        (lens 135mm f1.8:1.05), masterpiece, illustration, best quality, hyper detailed, Cinematic light,, beautiful detailed background, Night, rain, outdoor, reflective, looking at viewer, glare at, despise, cowboy shot, wet, night, (blush:1.1), baggy clothes, loose, beautiful detailed enameled material, (intricate detailed black raincoat), (hood up), large cleanness black raincoat, (????), ????, blood, (no pupils), (empty eyes), dead eyes, glowing eyes, smile, open mouth, ((yandere)), shaded face, blush, (beautiful detailed dark eyes:1.2), drooling, many line in hair, shiny skin, [[oily skin]], (wet hair:1.1), dampness, [beautiful detailed realistic],
                        ","
                        breasts, white shirt, lowres, huge eyes, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name
                        ",None,"
                        Euler a
                        ","
                        10.5
                        ","
                        2434547330
                        ","
                        2
                        ","
                        1024x768
                        ","
                        1d4a34af
                        ",app/static/media/article/original_20221209/03616-2434547330.png,201
